date,value,num_positions,num_signals,num_agents,weights
2023-10-25,1137624.6539168963,12,60,11,"{'AAPL': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'VTI': 0.08333333333333334, 'META': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'CRM': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'VOO': 0.08333333333333334, 'TSLA': 0.08333333333333334}"
2023-10-26,1114884.965372924,12,60,11,"{'META': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'VOO': 0.08333333333333334, 'CRM': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'SPY': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'AAPL': 0.08333333333333334}"
2023-10-27,1120110.8291173503,12,60,11,"{'TSLA': 0.08333333333333334, 'VOO': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'CRM': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'VTI': 0.08333333333333334, 'META': 0.08333333333333334}"
2023-10-30,1141999.506118399,12,60,11,"{'SPY': 0.08333333333333334, 'CRM': 0.08333333333333334, 'META': 0.08333333333333334, 'VOO': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'VTI': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'NVDA': 0.08333333333333334}"
2023-10-31,1147968.879839514,12,60,11,"{'QQQ': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'SPY': 0.08333333333333334, 'VOO': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'CRM': 0.08333333333333334, 'MSFT': 0.08333333333333334}"
2023-11-01,1170850.1383682045,12,60,11,"{'NFLX': 0.08333333333333334, 'SPY': 0.08333333333333334, 'VOO': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'CRM': 0.08333333333333334, 'VTI': 0.08333333333333334, 'META': 0.08333333333333334}"
2023-11-02,1196449.1396702093,12,60,11,"{'AMZN': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'VOO': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'CRM': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'SPY': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'VTI': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'PYPL': 0.08333333333333334}"
2023-11-03,1212159.219114796,12,60,11,"{'MSFT': 0.08333333333333334, 'SPY': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'VOO': 0.08333333333333334, 'VTI': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'PYPL': 0.08333333333333334}"
2023-11-06,1216622.725126582,12,60,11,"{'PYPL': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'CRM': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'SPY': 0.08333333333333334, 'MSFT': 0.08333333333333334}"
2023-11-07,1224375.361081898,12,60,11,"{'NVDA': 0.08333333333333334, 'VOO': 0.08333333333333334, 'SPY': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'VTI': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'META': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'MSFT': 0.08333333333333334}"
2023-11-08,1226783.0415758323,12,60,11,"{'SPY': 0.08333333333333334, 'META': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'CRM': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'VOO': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'VTI': 0.08333333333333334, 'AMZN': 0.08333333333333334}"
2023-11-09,1219871.5678346064,12,60,11,"{'AAPL': 0.08333333333333334, 'VOO': 0.08333333333333334, 'SPY': 0.08333333333333334, 'META': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'CRM': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'VTI': 0.08333333333333334, 'GOOGL': 0.08333333333333334}"
2023-11-10,1246926.9982281057,13,60,11,"{'AAPL': 0.07692307692307694, 'CRM': 0.07692307692307694, 'NFLX': 0.07692307692307694, 'GOOGL': 0.07692307692307694, 'SPY': 0.07692307692307694, 'ADBE': 0.07692307692307694, 'NVDA': 0.07692307692307694, 'VTI': 0.07692307692307694, 'META': 0.07692307692307694, 'MSFT': 0.07692307692307694, 'AMZN': 0.07692307692307694, 'VOO': 0.07692307692307694, 'QQQ': 0.07692307692307694}"
2023-11-13,1248973.819195278,12,60,11,"{'TSLA': 0.08333333333333334, 'VTI': 0.08333333333333334, 'CRM': 0.08333333333333334, 'SPY': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'META': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'VOO': 0.08333333333333334, 'PYPL': 0.08333333333333334}"
2023-11-14,1278278.957971742,13,60,11,"{'QQQ': 0.07692307692307694, 'PYPL': 0.07692307692307694, 'MSFT': 0.07692307692307694, 'VTI': 0.07692307692307694, 'VOO': 0.07692307692307694, 'ADBE': 0.07692307692307694, 'CRM': 0.07692307692307694, 'NVDA': 0.07692307692307694, 'TSLA': 0.07692307692307694, 'GOOGL': 0.07692307692307694, 'NFLX': 0.07692307692307694, 'META': 0.07692307692307694, 'AAPL': 0.07692307692307694}"
2023-11-15,1281720.955969854,14,60,11,"{'VOO': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'VTI': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'META': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'SPY': 0.07142857142857144}"
2023-11-16,1287896.5000790558,14,60,11,"{'NFLX': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'VTI': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'CRM': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'SPY': 0.07142857142857144, 'META': 0.07142857142857144, 'VOO': 0.07142857142857144}"
2023-11-17,1286668.1718903433,14,60,11,"{'MSFT': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'VTI': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'CRM': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'VOO': 0.07142857142857144, 'META': 0.07142857142857144}"
2023-11-20,1301295.0763474922,14,60,11,"{'CRM': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'SPY': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'META': 0.07142857142857144, 'VOO': 0.07142857142857144, 'VTI': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'TSLA': 0.07142857142857144}"
2023-11-21,1294611.054905478,14,60,11,"{'AAPL': 0.07142857142857144, 'VTI': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'CRM': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'VOO': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'META': 0.07142857142857144, 'SPY': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'PYPL': 0.07142857142857144}"
2023-11-22,1298869.6219072759,14,60,11,"{'AAPL': 0.07142857142857144, 'VOO': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'VTI': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'CRM': 0.07142857142857144, 'SPY': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'META': 0.07142857142857144}"
2023-11-24,1293858.2282243306,14,60,11,"{'AMZN': 0.07142857142857144, 'SPY': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'VTI': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'VOO': 0.07142857142857144, 'META': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'AAPL': 0.07142857142857144, 'CRM': 0.07142857142857144}"
2023-11-27,1294641.197226555,14,60,11,"{'AAPL': 0.07142857142857144, 'VTI': 0.07142857142857144, 'SPY': 0.07142857142857144, 'META': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'TSLA': 0.07142857142857144, 'CRM': 0.07142857142857144, 'VOO': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'GOOGL': 0.07142857142857144}"
